file,function,lineno,args,body_length,has_return,has_docstring
repos\requests\tests\test_requests.py,test_request_cookie_overrides_session_cookie,407,2,5,False,False
repos\requests\tests\test_requests.py,test_request_cookies_not_persisted,415,2,3,False,False
repos\requests\tests\test_requests.py,test_generic_cookiejar_works,421,2,7,False,False
repos\requests\tests\test_requests.py,test_param_cookiejar_works,432,2,5,False,False
repos\requests\tests\test_requests.py,test_cookielib_cookiejar_on_redirect,440,2,18,False,True
repos\requests\tests\test_requests.py,test_requests_in_history_are_not_overridden,472,2,4,False,False
repos\requests\tests\test_requests.py,test_history_is_always_a_list,478,2,6,False,True
repos\requests\tests\test_requests.py,test_headers_on_session_with_None_are_not_sent,486,2,6,False,True
repos\requests\tests\test_requests.py,test_headers_preserve_order,494,2,18,False,True
repos\requests\tests\test_requests.py,test_user_agent_transfers,515,3,3,False,False
repos\requests\tests\test_requests.py,test_HTTP_200_OK_HEAD,521,2,2,False,False
repos\requests\tests\test_requests.py,test_HTTP_200_OK_PUT,525,2,2,False,False
repos\requests\tests\test_requests.py,test_BASICAUTH_TUPLE_HTTP_200_OK_GET,529,2,10,False,False
repos\requests\tests\test_requests.py,test_set_basicauth,553,4,5,False,False
repos\requests\tests\test_requests.py,test_basicauth_encodes_byte_strings,562,1,5,False,True
repos\requests\tests\test_requests.py,test_errors,583,3,1,False,False
repos\requests\tests\test_requests.py,test_proxy_error,587,1,1,False,False
repos\requests\tests\test_requests.py,test_proxy_error_on_bad_url,594,3,4,False,False
repos\requests\tests\test_requests.py,test_respect_proxy_env_on_send_self_prepared_request,607,2,1,False,False
repos\requests\tests\test_requests.py,test_respect_proxy_env_on_send_session_prepared_request,614,2,1,False,False
repos\requests\tests\test_requests.py,test_respect_proxy_env_on_send_with_redirects,622,2,1,False,False
repos\requests\tests\test_requests.py,test_respect_proxy_env_on_get,631,2,1,False,False
repos\requests\tests\test_requests.py,test_respect_proxy_env_on_request,637,2,1,False,False
repos\requests\tests\test_requests.py,test_proxy_authorization_preserved_on_request,643,2,6,False,False
repos\requests\tests\test_requests.py,test_proxy_authorization_not_appended_to_https_request,659,3,6,False,False
repos\requests\tests\test_requests.py,test_basicauth_with_netrc,673,2,5,True,False
repos\requests\tests\test_requests.py,get_netrc_auth_mock,682,1,1,True,False
repos\requests\tests\test_requests.py,test_basicauth_with_netrc_leak,708,2,9,False,False
repos\requests\tests\test_requests.py,test_DIGEST_HTTP_200_OK_GET,738,2,1,False,False
repos\requests\tests\test_requests.py,test_DIGEST_AUTH_RETURNS_COOKIE,755,2,1,False,False
repos\requests\tests\test_requests.py,test_DIGEST_AUTH_SETS_SESSION_COOKIES,765,2,1,False,False
repos\requests\tests\test_requests.py,test_DIGEST_STREAM,773,2,1,False,False
repos\requests\tests\test_requests.py,test_DIGESTAUTH_WRONG_HTTP_401_GET,784,2,1,False,False
repos\requests\tests\test_requests.py,test_DIGESTAUTH_QUOTES_QOP_VALUE,800,2,1,False,False
repos\requests\tests\test_requests.py,test_POSTBIN_GET_POST_FILES,808,2,9,False,False
repos\requests\tests\test_requests.py,test_invalid_files_input,825,2,4,False,False
repos\requests\tests\test_requests.py,test_POSTBIN_SEEKED_OBJECT_WITH_NO_ITER,831,2,10,True,False
repos\requests\tests\test_requests.py,__init__,833,2,3,False,False
repos\requests\tests\test_requests.py,__len__,838,1,1,True,False
repos\requests\tests\test_requests.py,read,841,2,2,True,False
repos\requests\tests\test_requests.py,tell,850,1,1,True,False
repos\requests\tests\test_requests.py,seek,853,3,1,False,False
repos\requests\tests\test_requests.py,test_POSTBIN_GET_POST_FILES_WITH_DATA,872,2,9,False,False
repos\requests\tests\test_requests.py,test_post_with_custom_mapping,889,2,5,True,False
repos\requests\tests\test_requests.py,__init__,891,1,1,False,False
repos\requests\tests\test_requests.py,__delitem__,894,2,1,False,False
repos\requests\tests\test_requests.py,__getitem__,897,2,1,True,False
repos\requests\tests\test_requests.py,__setitem__,900,3,1,False,False
repos\requests\tests\test_requests.py,__iter__,903,1,1,True,False
repos\requests\tests\test_requests.py,__len__,906,1,1,True,False
repos\requests\tests\test_requests.py,test_conflicting_post_params,914,2,2,False,False
repos\requests\tests\test_requests.py,test_request_ok_set,920,2,2,False,False
repos\requests\tests\test_requests.py,test_status_raising,924,2,4,False,False
repos\requests\tests\test_requests.py,test_decompress_gzip,932,2,2,False,False
repos\requests\tests\test_requests.py,test_unicode_get,946,4,1,False,False
repos\requests\tests\test_requests.py,test_unicode_header_name,949,2,1,False,False
repos\requests\tests\test_requests.py,test_pyopenssl_redirect,956,3,1,False,False
repos\requests\tests\test_requests.py,test_invalid_ca_certificate_path,959,2,3,False,False
repos\requests\tests\test_requests.py,test_invalid_ssl_certificate_files,969,2,5,False,False
repos\requests\tests\test_requests.py,test_env_cert_bundles,1010,4,3,False,False
repos\requests\tests\test_requests.py,test_http_with_certificate,1018,2,2,False,False
repos\requests\tests\test_requests.py,test_https_warnings,1026,2,7,False,True
repos\requests\tests\test_requests.py,test_certificate_failure,1051,2,2,False,True
repos\requests\tests\test_requests.py,test_urlencoded_get_query_multivalued_param,1060,2,3,False,False
repos\requests\tests\test_requests.py,test_form_encoded_post_query_multivalued_element,1065,2,3,False,False
repos\requests\tests\test_requests.py,test_different_encodings_dont_break_post,1072,2,2,False,False
repos\requests\tests\test_requests.py,test_unicode_multipart_post,1091,3,2,False,False
repos\requests\tests\test_requests.py,test_unicode_multipart_post_fieldnames,1100,2,4,False,False
repos\requests\tests\test_requests.py,test_unicode_method_name,1114,2,2,False,False
repos\requests\tests\test_requests.py,test_unicode_method_name_with_request_object,1124,2,6,False,False
repos\requests\tests\test_requests.py,test_non_prepared_request_error,1136,1,4,False,False
repos\requests\tests\test_requests.py,test_custom_content_type,1144,2,3,False,False
repos\requests\tests\test_requests.py,test_hook_receives_request_arguments,1156,2,5,False,False
repos\requests\tests\test_requests.py,hook,1157,1,2,False,False
repos\requests\tests\test_requests.py,test_session_hooks_are_used_with_no_request_hooks,1166,2,7,False,False
repos\requests\tests\test_requests.py,hook,1167,0,1,False,False
repos\requests\tests\test_requests.py,test_session_hooks_are_overridden_by_request_hooks,1177,2,8,False,False
repos\requests\tests\test_requests.py,hook1,1178,0,1,False,False
